url,name,image,price
/vp/products/6260530178?itemId=12744365153&vendorItemId=80010714726&sourceType=CATEGORY&categoryId=497035,"
    2022 마이크로소프트 Surface Pro8 13 + 타입커버, 플래티넘(Surface Pro8), 블랙(타입커버), 코어i5, 256GB, 8GB, WIN11 Home, 8PQ-00014(Surface Pro), 8XA-00017(타입커버)
",//thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/13754359197882033-a3527430-f3c5-4154-b1ce-2a0111e5c0b4.jpg,"1,708,000"
/vp/products/6257069876?itemId=12717947004&vendorItemId=79984655317&sourceType=CATEGORY&categoryId=497035,"
    마이크로소프트 2022 Surface Pro8 13 + 플래티넘 타입커버, 블랙, 코어i5, 256GB, 16GB, WIN11 Home, 8PT-00030
",//thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/13754205057848787-24ce134a-ad43-45a1-aa3c-c6fd53d69487.jpg,"1,951,000"
/vp/products/6258261373?itemId=12727384717&vendorItemId=79993988533&sourceType=CATEGORY&categoryId=497035,"
    마이크로소프트 2022 Surface Pro8 13, 플래티넘, 코어i5, 256GB, 8GB, WIN11 Home, 8PQ-00014
",//thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/12/27/11/5/cb9dc166-1b15-475c-b7f3-155dfb6642bf.jpg,"1,482,000"
/vp/products/6260530178?itemId=12744365155&vendorItemId=80010714736&sourceType=CATEGORY&categoryId=497035,"
    2022 마이크로소프트 Surface Pro8 13 + 타입커버, 플래티넘(Surface Pro8), 블랙(타입커버), 코어i5, 128GB, 8GB, WIN11 Home, 8PN-00014(Surface Pro), 8XA-00017(타입커버)
",//thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/13754258789455626-e3829406-2eca-4438-9f6f-b92b539e36b2.jpg,"1,588,000"
/vp/products/6109948038?itemId=11508417278&vendorItemId=78783586348&sourceType=CATEGORY&categoryId=497035,"
    레노버 2021 ideapad 3D 14, 플래티넘 그레이, Slim3 14IML 81WA00JDKR, 코어i3, 256GB, 4GB, Free DOS
",//thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/xvpyxzmq/e99ad7c479964c19ab3f5894703059d9.jpg,"379,000"
/vp/products/4322481029?itemId=5504848475&vendorItemId=72804435553&sourceType=CATEGORY&categoryId=497035,"
    Apple 2020 맥북 프로 13, 스페이스 그레이, M1, 512GB, 16GB, MAC OS, Z11C000B0
",//thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/251391697011794-03f8aee1-f8eb-427c-9d98-df0cb4c4fccf.jpg,"2,057,000"
/vp/products/6148872639?itemId=11731448540&vendorItemId=79005406093&sourceType=CATEGORY&categoryId=497035,"
    Apple 2021 맥북프로 14, 스페이스그레이, M1 Pro 8코어, GPU 14코어, 16GB, 512GB
",//thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/7640914080662392-f7cabee9-a0de-42b4-978a-5b753b3d11c9.jpg,"2,450,050"
/vp/products/5358757879?itemId=7416308410&vendorItemId=80022025347&sourceType=CATEGORY&categoryId=497035,"
    삼성전자 2021 노트북 플러스2 15.6, 퓨어 화이트, 셀러론, NVMe128GB, 8GB, WIN10 Pro, NT550XDA-K14AW
",//thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/2172/c42fcf59994415c57480b7c7dd4f76674b485dfcb6aff138de3cf186d62c.jpg,"528,000"
/vp/products/6148872639?itemId=11731448547&vendorItemId=79005406117&sourceType=CATEGORY&categoryId=497035,"
    Apple 2021 맥북프로 14, 실버, M1 Pro 8코어, GPU 14코어, 16GB, 512GB
",//thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/7641156278338560-2da67f42-b382-446d-a361-763ef7a86c1a.jpg,"2,690,000"
/vp/products/4322481134?itemId=5504842710&vendorItemId=72804430256&sourceType=CATEGORY&categoryId=497035,"
    Apple 2020 맥북 에어 13, 스페이스 그레이, M1, 512GB, 16GB, MAC OS, Z1250002V
",//thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/399020648825869-d5005617-b82d-41d6-ba89-0484d694492c.jpg,"1,786,000"
